key,conference,id,title,program_title,authors,acceptance,themes,categories,quantity,method,caveat,matrix_scope,geometry,manifold_scope,relevance_notes,evidence,fulltext_sources,openreview_url,conference_url,proceedings_url,pdf_url,code_links,snapshot_date,training_scope,hyperparameters,training_finding,training_caveat,training_reading_rank,year,publication_status,source_url,doi,citation_key,bibtex,bibtex_kind,bibtex_source
ICLR:10008484,ICLR 2026,10008484,$\mathbf{Li_2}$: A Framework on Dynamics of Feature Emergence and Delayed Generalization,,Yuandong Tian,Accept (Poster),Optimizer; Training dynamics,"G: Optimizer theory, benchmarks, and training dynamics; T4: Compute, data and model scaling laws; T6: Feature learning, implicit bias and generalization dynamics; T8: Optimizer dynamics, comparisons and diagnostics",,,,,,,"Optimizer: Li2 models feature emergence and delayed generalization, including a mechanistic explanation for the effectiveness of Muon-like optimization. | Training dynamics: Li2 models feature emergence and delayed generalization, including a mechanistic explanation for the effectiveness of Muon-like optimization.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=ceIBRhJpUr,https://iclr.cc/virtual/2026/poster/10008484,,https://openreview.net/pdf?id=ceIBRhJpUr,,2026-09-23,Theory / controlled models,Feature emergence; delayed generalization; optimizer,"Li2 models feature emergence and delayed generalization, including a mechanistic explanation for the effectiveness of Muon-like optimization.","Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",0,2026,Accepted,https://openreview.net/forum?id=ceIBRhJpUr,,ICLR_10008484,"@misc{ICLR_10008484,
  title = {{$\mathbf{Li_2}$: A Framework on Dynamics of Feature Emergence and Delayed Generalization}},
  author = {Yuandong Tian},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=ceIBRhJpUr}
}",Generated from catalogue metadata,https://openreview.net/forum?id=ceIBRhJpUr
ICLR:10008268,ICLR 2026,10008268,$\mu$LO: Compute-Efficient Meta-Generalization of Learned Optimizers,,Benjamin Thérien; Charles-Étienne Joseph; Boris Knyazev; Edouard Oyallon; Irina Rish; Eugene Belilovsky,Accept (Poster),Optimizer; Training dynamics,"C: General-purpose matrix, spectral, adaptive, and learned optimizers; T3: Width/depth scaling and hyperparameter transfer",,,,,,,Optimizer: MuLO derives maximal-update parameterizations for learned optimizers to improve generalization to wider networks and longer training horizons. | Training dynamics: MuLO derives maximal-update parameterizations for learned optimizers to improve generalization to wider networks and longer training horizons.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=f8z2bzOLK2,https://iclr.cc/virtual/2026/poster/10008268,,https://openreview.net/pdf?id=f8z2bzOLK2,,2026-09-23,LLM training,Learned-optimizer parameterization; width; training horizon,MuLO derives maximal-update parameterizations for learned optimizers to improve generalization to wider networks and longer training horizons.,"Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",0,2026,Accepted,https://openreview.net/forum?id=f8z2bzOLK2,,ICLR_10008268,"@misc{ICLR_10008268,
  title = {{$\mu$LO: Compute-Efficient Meta-Generalization of Learned Optimizers}},
  author = {Benjamin Thérien and Charles-Étienne Joseph and Boris Knyazev and Edouard Oyallon and Irina Rish and Eugene Belilovsky},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=f8z2bzOLK2}
}",Generated from catalogue metadata,https://openreview.net/forum?id=f8z2bzOLK2
ICLR:10010069,ICLR 2026,10010069,A Block Coordinate Descent Method for Nonsmooth Composite Optimization under Orthogonality Constraints,,Ganzhao Yuan,Accept (Poster),Manifold,M1: General manifold algorithms and convergence theory,,,,,Orthogonality constraints / Stiefel-type feasible matrices,Direct algorithm/theory/application,Manifold: OBCD performs feasible block-coordinate updates for nonsmooth composite objectives and establishes stronger block stationarity and convergence rates.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=L3Or2mhuCH,https://iclr.cc/virtual/2026/poster/10010069,,https://openreview.net/pdf?id=L3Or2mhuCH,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=L3Or2mhuCH,,ICLR_10010069,"@misc{ICLR_10010069,
  title = {{A Block Coordinate Descent Method for Nonsmooth Composite Optimization under Orthogonality Constraints}},
  author = {Ganzhao Yuan},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=L3Or2mhuCH}
}",Generated from catalogue metadata,https://openreview.net/forum?id=L3Or2mhuCH
ICLR:10006690,ICLR 2026,10006690,A Convergence Analysis of Adaptive Optimizers under Floating-point Quantization,,Xuan Tang; Jichu Li; Difan Zou,Accept (Poster),Optimizer,D: Memory-efficient and low-precision optimizers,,,,,,,"Optimizer: Convergence theory for Adam and Muon with floating-point quantization of weights, gradients, and optimizer states; distinguishes their sensitivity to different error sources.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=wwP1SCACee,https://iclr.cc/virtual/2026/poster/10006690,,https://openreview.net/pdf?id=wwP1SCACee,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=wwP1SCACee,,ICLR_10006690,"@misc{ICLR_10006690,
  title = {{A Convergence Analysis of Adaptive Optimizers under Floating-point Quantization}},
  author = {Xuan Tang and Jichu Li and Difan Zou},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=wwP1SCACee}
}",Generated from catalogue metadata,https://openreview.net/forum?id=wwP1SCACee
ICLR:10011394,ICLR 2026,10011394,A Physics-Inspired Optimizer: Velocity Regularized Adam,,Pranav Vaidhyanathan; Lucas Schorling; Natalia Ares; Michael Osborne,Accept (Poster),Optimizer,"C: General-purpose matrix, spectral, adaptive, and learned optimizers",,,,,,,Optimizer: Velocity-Regularized Adam adds velocity-dependent damping to suppress oscillatory large updates; includes language-model and vision experiments.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=6BhduwrCp3,https://iclr.cc/virtual/2026/poster/10011394,,https://openreview.net/pdf?id=6BhduwrCp3,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=6BhduwrCp3,,ICLR_10011394,"@misc{ICLR_10011394,
  title = {{A Physics-Inspired Optimizer: Velocity Regularized Adam}},
  author = {Pranav Vaidhyanathan and Lucas Schorling and Natalia Ares and Michael Osborne},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=6BhduwrCp3}
}",Generated from catalogue metadata,https://openreview.net/forum?id=6BhduwrCp3
ICLR:10010984,ICLR 2026,10010984,A Spectral-Grassmann Wasserstein metric for operator representations of dynamical systems,,Thibaut Germain; Rémi Flamary; Vladimir Kostic; Karim Lounici,Accept (Poster),Manifold,"M5: Supporting geometry, statistics, and training-dynamics papers",,,,,Spectral/Grassmann geometry and Wasserstein transport,Related/supporting,Manifold: Defines distances and Frechet means for dynamical-system operators; relevant geometric infrastructure rather than a general descent algorithm.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=B02EqvyiF3,https://iclr.cc/virtual/2026/poster/10010984,,https://openreview.net/pdf?id=B02EqvyiF3,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=B02EqvyiF3,,ICLR_10010984,"@misc{ICLR_10010984,
  title = {{A Spectral-Grassmann Wasserstein metric for operator representations of dynamical systems}},
  author = {Thibaut Germain and Rémi Flamary and Vladimir Kostic and Karim Lounici},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=B02EqvyiF3}
}",Generated from catalogue metadata,https://openreview.net/forum?id=B02EqvyiF3
ICLR:10007952,ICLR 2026,10007952,A Tale of Two Geometries: Adaptive Optimizers and Non-Euclidean Descent,,Shuo Xie; Tianhao Wang; Beining Wu; Zhiyuan Li,Accept (Poster),Optimizer,"G: Optimizer theory, benchmarks, and training dynamics",,,,,,,Optimizer: Compares adaptive optimizers and non-Euclidean normalized steepest descent through adaptive smoothness and gradient-variance assumptions.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=iaoAKDRAJQ,https://iclr.cc/virtual/2026/poster/10007952,,https://openreview.net/pdf?id=iaoAKDRAJQ,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=iaoAKDRAJQ,,ICLR_10007952,"@misc{ICLR_10007952,
  title = {{A Tale of Two Geometries: Adaptive Optimizers and Non-Euclidean Descent}},
  author = {Shuo Xie and Tianhao Wang and Beining Wu and Zhiyuan Li},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=iaoAKDRAJQ}
}",Generated from catalogue metadata,https://openreview.net/forum?id=iaoAKDRAJQ
ICLR:10008011,ICLR 2026,10008011,A Theoretical Analysis of Mamba’s Training Dynamics: Filtering Relevant Features for Generalization in State Space Models,,Mugunthan Shandirasegaran; Hongkang Li; Songyang Zhang; Meng Wang; Shuai Zhang,Accept (Poster),Optimizer; Training dynamics,"G: Optimizer theory, benchmarks, and training dynamics; T6: Feature learning, implicit bias and generalization dynamics",,,,,,,Training dynamics: Explains feature selection by a simplified Mamba block through non-asymptotic learning dynamics.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=hvpKqEYJjj,https://iclr.cc/virtual/2026/poster/10008011,,https://openreview.net/pdf?id=hvpKqEYJjj,,2026-09-23,Theory / controlled models,Signal/noise ratio; training time; sample size,Explains feature selection by a simplified Mamba block through non-asymptotic learning dynamics.,The model is single-layer/single-head with structured synthetic data.,0,2026,Accepted,https://openreview.net/forum?id=hvpKqEYJjj,,ICLR_10008011,"@misc{ICLR_10008011,
  title = {{A Theoretical Analysis of Mamba’s Training Dynamics: Filtering Relevant Features for Generalization in State Space Models}},
  author = {Mugunthan Shandirasegaran and Hongkang Li and Songyang Zhang and Meng Wang and Shuai Zhang},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=hvpKqEYJjj}
}",Generated from catalogue metadata,https://openreview.net/forum?id=hvpKqEYJjj
ICLR:10006767,ICLR 2026,10006767,A universal compression theory for lottery ticket hypothesis and neural scaling laws,,Hong-Yi Wang; Di Luo; Tomaso Poggio; Isaac Chuang; Liu Ziyin,Accept (Poster),Optimizer; Training dynamics,"H: Learning rates, batch sizes, parameterization, and plasticity; T3: Width/depth scaling and hyperparameter transfer; T4: Compute, data and model scaling laws",,,,,,,Training dynamics: Develops permutation-invariant compression theory with consequences for learning dynamics and scaling laws.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=vxkzW4ljeX,https://iclr.cc/virtual/2026/poster/10006767,,https://openreview.net/pdf?id=vxkzW4ljeX,,2026-09-23,Theory / controlled models,Width; sample size; compression level,Develops permutation-invariant compression theory with consequences for learning dynamics and scaling laws.,Asymptotic existence/construction results are not an off-the-shelf compression recipe for any pretrained LLM.,0,2026,Accepted,https://openreview.net/forum?id=vxkzW4ljeX,,ICLR_10006767,"@misc{ICLR_10006767,
  title = {{A universal compression theory for lottery ticket hypothesis and neural scaling laws}},
  author = {Hong-Yi Wang and Di Luo and Tomaso Poggio and Isaac Chuang and Liu Ziyin},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=vxkzW4ljeX}
}",Generated from catalogue metadata,https://openreview.net/forum?id=vxkzW4ljeX
ICLR:10007112,ICLR 2026,10007112,Accelerating Eigenvalue Dataset Generation via Chebyshev Subspace Filter,,Hong Wang; Jie Wang; Jian Luo; huanshuo dong; Yeqiu Chen; Runmin Jiang; Zhen Huang,Accept (Poster),Matrix computation,"X2: Eigenproblems, spectral computation and SVD analysis",Eigenpairs for related operators,Sort operators using truncated FFT features; reuse previous eigenpairs through Chebyshev subspace filtering.,Targets eigenvalue dataset generation across a sequence of related problems.,Scientific computing,,,Matrix computation: Sort operators using truncated FFT features; reuse previous eigenpairs through Chebyshev subspace filtering.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=rrbCQT7JKX,https://iclr.cc/virtual/2026/poster/10007112,,https://openreview.net/pdf?id=rrbCQT7JKX,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=rrbCQT7JKX,,ICLR_10007112,"@misc{ICLR_10007112,
  title = {{Accelerating Eigenvalue Dataset Generation via Chebyshev Subspace Filter}},
  author = {Hong Wang and Jie Wang and Jian Luo and huanshuo dong and Yeqiu Chen and Runmin Jiang and Zhen Huang},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=rrbCQT7JKX}
}",Generated from catalogue metadata,https://openreview.net/forum?id=rrbCQT7JKX
